model_name,engine_type,engine_power,max_speed,cruise_speed,stall_speed,fuel_tank,all_eng_roc,out_eng_roc,takeoff_distance,landing_distance,empty_weight,length,wing_span,range,price
100 Darter (S.L. Industries),Jet,2950.0,477.0,442.0,90.0,6098.0,6050.0,5186.0,2703.0,15000.0,7206.0,570.0,426.0,1385.0,4500000.0
T 337 C Skymaster turbocharged,Jet,2950.0,475.0,441.0,88.0,5628.0,7100.0,3297.0,2873.0,13500.0,7130.0,519.0,426.0,1001.0,4500000.0
100 Darter (S.L. Industries),Jet,2950.0,477.0,441.0,88.0,4791.0,7220.0,3000.0,2789.0,12900.0,7025.0,519.0,426.0,730.0,4500000.0
"337 G,H II Skymaster (prior '79 service ceiling=18,000)",Jet,2950.0,464.0,441.0,99.0,5628.0,6800.0,3917.0,2800.0,13500.0,6988.0,519.0,427.0,1001.0,4500000.0
100 Darter (S.L. Industries),Jet,2950.0,477.0,442.0,87.0,840.0,6800.0,3917.0,2703.0,13500.0,6803.0,519.0,426.0,1001.0,4500000.0
337 E Skymaster,Jet,2950.0,461.0,442.0,88.0,715.0,6900.0,3370.0,2850.0,12500.0,6519.0,519.0,426.0,1385.0,4500000.0
100 Darter (S.L. Industries),Jet,2950.0,474.0,437.0,88.0,834.0,6300.0,3100.0,3307.0,13500.0,6927.0,519.0,427.0,1001.0,4500000.0
337 C Skymaster,Jet,2850.0,469.0,417.0,90.0,847.0,6300.0,3100.0,3350.0,13000.0,7090.0,518.0,427.0,1100.0,4100000.0
100 Darter (S.L. Industries),Jet,2850.0,488.0,423.0,89.0,828.0,6900.0,2940.0,2800.0,12500.0,6700.0,518.0,427.0,1000.0,4100000.0
208 Caravan-675,Jet,6400.0,92.0,511.0,56.0,13000.0,3720.0,5710.0,3820.0,35700.0,21400.0,866.0,765.0,3250.0,5100000.0
100 Darter (S.L. Industries),Jet,4000.0,85.0,476.0,97.0,7385.0,4442.0,4690.0,2910.0,22450.0,13700.0,665.0,641.0,2300.0,5100000.0
100 Darter (S.L. Industries),Jet,3650.0,473.0,169.0,97.0,7385.0,1520.0,5150.0,2900.0,22000.0,12775.0,665.0,641.0,2345.0,5100000.0
"T 210 K,L Turbo (K=9 mph less speed)",Jet,3650.0,472.0,461.0,97.0,7384.0,3699.0,5030.0,2900.0,22000.0,11811.0,666.0,642.0,2600.0,5100000.0
100 Darter (S.L. Industries),Jet,3650.0,472.0,169.0,89.0,7384.0,3909.0,4710.0,2560.0,21000.0,11720.0,666.0,642.0,2600.0,5100000.0
T 210 F Turbo Centurion,Jet,3786.0,76.0,429.0,82.0,6590.0,3090.0,3460.0,3315.0,19200.0,11310.0,622.0,668.0,2027.0,
100 Darter (S.L. Industries),Jet,3400.0,755.0,427.0,83.0,5440.0,4500.0,1706.0,1525.0,16830.0,9977.0,585.0,649.0,1970.0,4500000.0
"210 M,NII (prior'78=less svc. ceil. & r/o/c=860)",Jet,3045.0,76.0,430.0,82.0,5771.0,4230.0,3180.0,2800.0,16300.0,9550.0,587.0,626.0,1960.0,
210 F Centurion,Jet,2887.0,70.0,401.0,86.0,4860.0,3195.0,3600.0,3180.0,14800.0,8925.0,566.0,626.0,1900.0,
100 Darter (S.L. Industries),Jet,2500.0,177.0,403.0,82.0,5820.0,3000.0,3240.0,3050.0,15000.0,8049.0,566.0,626.0,2104.0,4300000.0
100 Darter (S.L. Industries),Jet,2500.0,177.0,385.0,82.0,5008.0,3370.0,2990.0,2270.0,13300.0,7388.0,566.0,626.0,1930.0,4300000.0
T 207 (Stationair 7 & 8) '77=eng 310 hp,Jet,2500.0,177.0,385.0,82.0,5009.0,3625.0,2650.0,2210.0,12500.0,7181.0,566.0,626.0,2104.0,4300000.0
100 Darter (S.L. Industries),Jet,2820.0,737.0,351.0,56.0,4710.0,2460.0,1706.0,2770.0,13870.0,8300.0,602.0,640.0,1875.0,4500000.0
"U206E,F, float ('75-'76 specs) '76=+4 gal fuel",Jet,1900.0,71.0,380.0,85.0,3220.0,3311.0,3080.0,2750.0,10400.0,6550.0,510.0,560.0,1485.0,4100000.0
"TU 206E,F (ski) (prior'76=4 gal more fuel)",Jet,2200.0,177.0,357.0,82.0,3807.0,2719.0,2930.0,2270.0,11850.0,6631.0,522.0,565.0,1325.0,4100000.0
"U206 E,F (ski) Super Skywagon",Jet,2200.0,177.0,351.0,56.0,3780.0,2680.0,2930.0,2270.0,11850.0,6684.0,522.0,565.0,1325.0,4100000.0
100 Darter (S.L. Industries),Jet,2200.0,177.0,348.0,85.0,3780.0,2900.0,2660.0,2300.0,11500.0,6454.0,522.0,527.0,1308.0,4100000.0
"TU 206E,F Stationair",Jet,2200.0,177.0,348.0,84.0,3618.0,2900.0,2550.0,2310.0,10850.0,6350.0,522.0,525.0,1064.0,3500000.0
100 Darter (S.L. Industries),Propjet,625.0,295.0,283.0,76.0,475.0,2435.0,2465.0,1875.0,9850.0,5682.0,468.0,592.0,2193.0,3500000.0
"U206 F,G II ('75 up) '75 lgt=28/9 + prior'79 less fuel)",Propjet,450.0,263.0,169.0,84.0,366.0,1861.0,2490.0,2150.0,8600.0,4948.0,430.0,529.0,1248.0,3340000.0
100 Darter (S.L. Industries),Propjet,450.0,263.0,250.0,79.0,366.0,2027.0,2341.0,2145.0,8200.0,4915.0,430.0,529.0,1461.0,3470000.0
U 206 A,Piston,375.0,257.0,241.0,74.0,213.0,1940.0,2323.0,2293.0,7450.0,5048.0,437.0,493.0,1197.0,3020000.0
100 Darter (S.L. Industries),Piston,375.0,245.0,235.0,74.0,175.0,1850.0,2387.0,2178.0,7450.0,4426.0,433.0,501.0,845.0,3100000.0
"TP 206A,B,C,D,E (E=35/10 span) (A=28/0 lgt)",Piston,375.0,240.0,227.0,76.0,175.0,1700.0,2516.0,2110.0,6840.0,4252.0,404.0,477.0,826.0,2600000.0
100 Darter (S.L. Industries),Piston,375.0,240.0,222.0,76.0,170.0,1700.0,2516.0,2110.0,6800.0,4237.0,401.0,477.0,826.0,2600000.0
206H Stationair,Piston,310.0,235.0,224.0,72.0,213.0,1520.0,2595.0,2393.0,6750.0,4543.0,436.0,529.0,1099.0,3080000.0
100 Darter (S.L. Industries),Piston,310.0,239.0,224.0,70.0,102.0,1580.0,2350.0,1865.0,6350.0,4039.0,405.0,479.0,1090.0,3010000.0
P 206 Super Skylane,Piston,340.0,231.0,214.0,72.0,175.0,1900.0,2010.0,1851.0,6500.0,3865.0,401.0,477.0,908.0,2600000.0
100 Darter (S.L. Industries),Piston,375.0,232.0,217.0,70.0,348.0,1575.0,2367.0,2130.0,8400.0,4965.0,474.0,556.0,553.0,2600000.0
195 B,Piston,325.0,230.0,213.0,68.0,213.0,1450.0,2195.0,2485.0,6850.0,4238.0,436.0,529.0,875.0,2690000.0
100 Darter (S.L. Industries),Piston,300.0,229.0,210.0,70.0,102.0,1610.0,2220.0,1765.0,6300.0,4038.0,433.0,479.0,1180.0,2618000.0
195,Piston,300.0,227.0,209.0,69.0,102.0,1610.0,2220.0,1765.0,6300.0,3719.0,428.0,477.0,833.0,2618000.0
100 Darter (S.L. Industries),Piston,300.0,227.0,209.0,69.0,102.0,1610.0,2220.0,1765.0,6300.0,3674.0,404.0,477.0,1102.0,2618000.0
T 188C Ag Husky (prior'81=4 mph less),Piston,310.0,243.0,229.0,71.0,102.0,1650.0,2175.0,1850.0,5990.0,4184.0,412.0,457.0,1106.0,2980000.0
100 Darter (S.L. Industries),Piston,285.0,226.0,210.0,71.0,102.0,1500.0,2430.0,1840.0,5975.0,3730.0,412.0,457.0,1258.0,2650000.0
A188B Ag Wagon ('79 & up) dispersal sys,Piston,300.0,230.0,215.0,71.0,102.0,1400.0,2365.0,1850.0,5990.0,3963.0,412.0,457.0,928.0,2680000.0
100 Darter (S.L. Industries),Piston,285.0,239.0,226.0,64.0,102.0,1924.0,1515.0,1734.0,5300.0,3273.0,354.0,441.0,735.0,2900000.0
A188 Ag Wagon restricted (prior'77=7/10 hgt),Piston,260.0,229.0,213.0,63.0,102.0,1820.0,1584.0,1910.0,5200.0,3260.0,354.0,441.0,735.0,2810000.0
100 Darter (S.L. Industries),Piston,260.0,230.0,204.0,68.0,102.0,1820.0,1890.0,2056.0,4990.0,3190.0,353.0,441.0,740.0,2810000.0
188 Ag Pickup fixed-prop ('72) restricted,Piston,285.0,237.0,223.0,70.0,102.0,1700.0,1662.0,1790.0,5500.0,3723.0,383.0,443.0,517.0,2740000.0
100 Darter (S.L. Industries),Piston,285.0,238.0,225.0,67.0,102.0,1790.0,1662.0,1790.0,5500.0,3292.0,354.0,441.0,807.0,2820000.0
"188A,B Ag Wagon ('67-'71) fixed-prop normal",Piston,285.0,239.0,226.0,66.0,102.0,1862.0,1590.0,1790.0,5400.0,3292.0,351.0,441.0,807.0,2860000.0
100 Darter (S.L. Industries),Piston,285.0,207.0,194.0,70.0,102.0,1662.0,1700.0,1790.0,5500.0,3603.0,383.0,443.0,661.0,1975000.0
A185 F (float) (prior '79 = 4-8 gal less fuel),Piston,260.0,205.0,192.0,63.0,102.0,1495.0,1795.0,1697.0,5300.0,3214.0,354.0,441.0,680.0,1950000.0
A185 F II Skywagon (prior '81=less perform),Piston,260.0,206.0,193.0,62.0,102.0,1540.0,1716.0,1673.0,5200.0,3170.0,350.0,441.0,676.0,1990000.0
100 Darter (S.L. Industries),Piston,260.0,206.0,193.0,65.0,102.0,1540.0,1716.0,1582.0,5200.0,3125.0,353.0,443.0,676.0,1990000.0
185 E Skywagon,Piston,260.0,207.0,194.0,65.0,102.0,1590.0,1640.0,1540.0,5100.0,3094.0,354.0,443.0,687.0,2030000.0
100 Darter (S.L. Industries),Piston,260.0,209.0,194.0,65.0,102.0,1690.0,1545.0,1900.0,5100.0,3063.0,353.0,449.0,687.0,2110000.0
R182 II RG Turbo Skylane,Piston,260.0,210.0,191.0,73.0,102.0,1800.0,1395.0,1720.0,4990.0,3049.0,353.0,441.0,678.0,2130000.0
100 Darter (S.L. Industries),Piston,240.0,191.0,178.0,71.0,102.0,1700.0,1375.0,1710.0,4600.0,2850.0,325.0,433.0,640.0,1950000.0
T-182R II Turbo Skylane,Piston,250.0,216.0,180.0,62.0,155.0,1480.0,1750.0,1450.0,5000.0,3305.0,365.0,466.0,835.0,2500000.0
100 Darter (S.L. Industries),Piston,225.0,211.0,204.0,62.0,150.0,1170.0,1500.0,1675.0,4700.0,3184.0,358.0,458.0,939.0,2000000.0
182T Skylane,Piston,210.0,207.0,200.0,62.0,90.0,1160.0,1675.0,1650.0,4630.0,3038.0,358.0,458.0,1080.0,2000000.0
100 Darter (S.L. Industries),Piston,210.0,200.0,194.0,61.0,93.0,1105.0,1675.0,1650.0,4630.0,2850.0,358.0,458.0,920.0,2930000.0
182R II (1981 & up),Piston,210.0,201.0,195.0,61.0,93.0,1155.0,1595.0,1650.0,4500.0,2815.0,358.0,456.0,920.0,3010000.0
100 Darter (S.L. Industries),Piston,210.0,201.0,195.0,59.0,93.0,1155.0,1595.0,1520.0,4500.0,2795.0,358.0,456.0,920.0,3010000.0
182 N Skylane,Piston,210.0,202.0,196.0,57.0,93.0,1250.0,1490.0,1500.0,4300.0,2785.0,349.0,456.0,920.0,3100000.0
100 Darter (S.L. Industries),Piston,210.0,172.0,169.0,61.0,90.0,940.0,1675.0,1650.0,4630.0,2925.0,357.0,458.0,1139.0,1630000.0
"182 E,F,G,H",Piston,210.0,173.0,165.0,61.0,93.0,1100.0,1675.0,1650.0,4630.0,2695.0,357.0,458.0,920.0,1800000.0
100 Darter (S.L. Industries),Piston,210.0,173.0,166.0,60.0,93.0,1180.0,1565.0,1650.0,4440.0,2660.0,357.0,458.0,922.0,1930000.0
182,Piston,210.0,173.0,166.0,60.0,93.0,1200.0,1545.0,1650.0,4400.0,2655.0,357.0,456.0,920.0,1950000.0
100 Darter (S.L. Industries),Piston,210.0,173.0,166.0,58.0,93.0,1200.0,1545.0,1520.0,4400.0,2650.0,357.0,456.0,922.0,1950000.0
"180J,K amphib prior'76=4 gal more fuel (range w/80 gal fuel)",Piston,210.0,174.0,167.0,57.0,93.0,1250.0,1490.0,1500.0,4300.0,2615.0,357.0,456.0,922.0,2000000.0
100 Darter (S.L. Industries),Piston,210.0,174.0,167.0,55.0,93.0,1200.0,1435.0,1465.0,4200.0,2615.0,357.0,456.0,922.0,2050000.0
"180J,K (ski) (prior'79=15,600 serv. ceil, less fuel)",Piston,210.0,159.0,150.0,52.0,93.0,1300.0,1145.0,1395.0,3900.0,2320.0,355.0,456.0,880.0,1900000.0
100 Darter (S.L. Industries),Propjet,675.0,182.0,154.0,61.0,335.0,1234.0,2053.0,1655.0,8000.0,3973.0,450.0,625.0,866.0,2500000.0
180,Propjet,675.0,186.0,154.0,61.0,335.0,975.0,2420.0,1880.0,8750.0,4765.0,499.0,625.0,810.0,2370000.0
100 Darter (S.L. Industries),Piston,310.0,235.0,235.0,60.0,388.0,1400.0,1706.0,1525.0,3600.0,2350.0,302.0,438.0,1270.0,2500000.0
177 RG Cardinal,Piston,325.0,224.0,212.0,55.0,85.0,1150.0,2110.0,1600.0,4100.0,2471.0,340.0,466.0,715.0,2500000.0
100 Darter (S.L. Industries),Piston,310.0,201.0,191.0,58.0,90.0,945.0,2160.0,1500.0,4000.0,2481.0,338.0,441.0,661.0,2300000.0
177 B (thru'74)'70-'71 lgt=27/0 & hgt=9/1,Piston,325.0,224.0,207.0,55.0,87.0,1150.0,2110.0,1600.0,4100.0,2320.0,340.0,466.0,715.0,2900000.0
100 Darter (S.L. Industries),Piston,310.0,204.0,192.0,58.0,90.0,930.0,2160.0,1500.0,4000.0,2303.0,338.0,441.0,715.0,2700000.0
177 Cardinal,Piston,310.0,204.0,197.0,57.0,90.0,1030.0,1900.0,1500.0,3800.0,2306.0,338.0,441.0,732.0,2850000.0
100 Darter (S.L. Industries),Piston,285.0,205.0,187.0,57.0,90.0,930.0,2030.0,1500.0,3800.0,2180.0,339.0,441.0,732.0,2850000.0
"175,-A,-B",Piston,285.0,203.0,194.0,55.0,89.0,1115.0,1365.0,1355.0,3400.0,2050.0,339.0,441.0,739.0,3020000.0
100 Darter (S.L. Industries),Piston,285.0,200.0,191.0,54.0,65.0,1280.0,1265.0,1340.0,3300.0,1965.0,336.0,439.0,539.0,3130000.0
172 Q Cutlass,Piston,300.0,175.0,169.0,53.0,87.0,1060.0,2050.0,1585.0,3850.0,2220.0,338.0,466.0,600.0,1600000.0
100 Darter (S.L. Industries),Piston,300.0,174.0,170.0,57.0,90.0,950.0,2030.0,1500.0,3800.0,2219.0,338.0,441.0,600.0,1730000.0
172S Skyhawk SP,Piston,285.0,174.0,167.0,55.0,90.0,1000.0,1365.0,1355.0,3400.0,1960.0,339.0,441.0,760.0,1830000.0
100 Darter (S.L. Industries),Piston,285.0,172.0,165.0,54.0,65.0,1115.0,1265.0,1340.0,3300.0,1865.0,336.0,439.0,640.0,1990000.0
172 P II Skyhawk,Piston,285.0,173.0,166.0,53.0,65.0,1210.0,1110.0,1275.0,3100.0,1860.0,340.0,439.0,640.0,2100000.0
100 Darter (S.L. Industries),Piston,260.0,170.0,160.0,52.0,65.0,1270.0,1210.0,1110.0,3000.0,1780.0,327.0,438.0,680.0,2030000.0
172 M Skyhawk ('76=4 mph more speed),Piston,260.0,173.0,165.0,51.0,65.0,1300.0,1135.0,1190.0,2900.0,1740.0,327.0,437.0,700.0,2070000.0
100 Darter (S.L. Industries),Piston,310.0,170.0,161.0,59.0,61.0,885.0,1860.0,1500.0,3800.0,2254.0,386.0,430.0,583.0,2600000.0
R172K/Hawk XP (floats),Piston,300.0,150.0,143.0,59.0,61.0,810.0,1970.0,1500.0,3800.0,2177.0,386.0,430.0,612.0,1330000.0
100 Darter (S.L. Industries),Piston,310.0,155.0,135.0,52.0,92.0,835.0,2790.0,1750.0,3600.0,2404.0,356.0,430.0,640.0,2560000.0
172 M (float plane 1974-76),Piston,285.0,157.0,143.0,50.0,65.0,950.0,2400.0,1610.0,3600.0,2295.0,342.0,430.0,626.0,2420000.0
100 Darter (S.L. Industries),Piston,300.0,137.0,131.0,51.0,92.0,925.0,2820.0,1675.0,3500.0,2342.0,356.0,430.0,680.0,1390000.0
172 K & L float plane,Piston,300.0,136.0,130.0,53.0,61.0,855.0,2475.0,1570.0,3500.0,2312.0,356.0,430.0,580.0,1390000.0
100 Darter (S.L. Industries),Piston,300.0,136.0,131.0,49.0,65.0,855.0,2475.0,1570.0,3500.0,2200.0,342.0,430.0,510.0,1390000.0
"172,-D,-E,-F,-G,-H",Piston,300.0,136.0,131.0,56.0,65.0,855.0,2475.0,1570.0,3500.0,2060.0,342.0,442.0,510.0,1390000.0
100 Darter (S.L. Industries),Piston,285.0,145.0,132.0,61.0,65.0,920.0,1706.0,1525.0,3300.0,2165.0,344.0,430.0,626.0,2350000.0
100 Darter (S.L. Industries),Piston,300.0,121.0,119.0,52.0,65.0,800.0,1706.0,1525.0,3300.0,2065.0,344.0,430.0,510.0,1150000.0
"170,-A,-B",Piston,310.0,174.0,152.0,54.0,92.0,1010.0,1640.0,1395.0,3600.0,2066.0,339.0,430.0,640.0,2700000.0
100 Darter (S.L. Industries),Piston,285.0,174.0,148.0,53.0,65.0,1030.0,1810.0,1395.0,3600.0,1935.0,345.0,430.0,580.0,2630000.0
"150M, A150M (Aerobat span=32/9)",Piston,285.0,174.0,160.0,53.0,65.0,1030.0,1810.0,1395.0,3600.0,1795.0,332.0,439.0,627.0,2630000.0
100 Darter (S.L. Industries),Piston,300.0,156.0,147.0,54.0,92.0,920.0,1780.0,1395.0,3600.0,2002.0,339.0,430.0,680.0,1480000.0
A 150 L Aerobat (1974),Piston,300.0,151.0,143.0,53.0,65.0,920.0,1780.0,1395.0,3600.0,1725.0,344.0,439.0,510.0,1480000.0
100 Darter (S.L. Industries),Piston,285.0,151.0,142.0,53.0,65.0,920.0,1810.0,1340.0,3600.0,1795.0,333.0,439.0,555.0,1480000.0
"150 H,J,K (K=8/8 height)",Piston,285.0,154.0,144.0,52.0,65.0,1075.0,1265.0,1340.0,3300.0,1760.0,333.0,439.0,563.0,1670000.0
100 Darter (S.L. Industries),Piston,285.0,174.0,160.0,53.0,65.0,1030.0,1810.0,1395.0,3600.0,1915.0,339.0,439.0,609.0,2630000.0
"150 D,-E,-F,-G",Piston,310.0,178.0,150.0,54.0,92.0,1050.0,1740.0,1395.0,3600.0,2351.0,339.0,432.0,713.0,2700000.0
100 Darter (S.L. Industries),Piston,300.0,151.0,142.0,54.0,92.0,988.0,1860.0,1395.0,3600.0,2351.0,339.0,432.0,713.0,1570000.0
150,Piston,285.0,151.0,142.0,53.0,65.0,920.0,1810.0,1395.0,3600.0,1820.0,339.0,439.0,555.0,1480000.0
100 Darter (S.L. Industries),Piston,285.0,154.0,143.0,52.0,65.0,1075.0,1265.0,1340.0,3300.0,1790.0,338.0,438.0,565.0,1670000.0
140,Piston,260.0,145.0,138.0,50.0,65.0,965.0,1465.0,1510.0,3300.0,1750.0,327.0,438.0,515.0,1610000.0
100 Darter (S.L. Industries),Piston,275.0,152.0,143.0,54.0,80.0,1135.0,1605.0,1495.0,3350.0,2050.0,327.0,434.0,583.0,1625000.0
Vision Jet SF50,Piston,245.0,153.0,139.0,56.0,80.0,1050.0,1670.0,1495.0,3350.0,2030.0,327.0,434.0,603.0,1600000.0
Columbia 400 LC-41,Piston,300.0,157.0,148.0,55.0,80.0,1090.0,1670.0,1495.0,3350.0,2050.0,327.0,434.0,600.0,1600000.0
Columbia 350 LC-42,Piston,240.0,153.0,139.0,56.0,80.0,1090.0,1670.0,1495.0,3350.0,2015.0,327.0,434.0,610.0,1600000.0
100 Darter (S.L. Industries),Piston,310.0,113.0,106.0,58.0,54.0,510.0,2060.0,1265.0,4400.0,2322.0,318.0,500.0,283.0,1400000.0
115TC,Piston,300.0,106.0,101.0,57.0,54.0,465.0,2250.0,1265.0,4200.0,2230.0,311.0,500.0,290.0,780000.0
100 Darter (S.L. Industries),Piston,300.0,107.0,103.0,55.0,54.0,525.0,1965.0,1265.0,4000.0,2179.0,311.0,489.0,290.0,870000.0
114TC,Piston,300.0,105.0,98.0,50.0,54.0,690.0,1090.0,1265.0,4200.0,2220.0,315.0,500.0,290.0,1110000.0
100 Darter (S.L. Industries),Piston,300.0,105.0,98.0,50.0,37.0,690.0,1090.0,1265.0,4000.0,2189.0,315.0,489.0,278.0,1110000.0
"114,('76-24/10 length + less performance)",Piston,230.0,91.0,78.0,50.0,37.0,400.0,1920.0,1265.0,3800.0,1900.0,303.0,489.0,204.0,650000.0
100 Darter (S.L. Industries),Piston,230.0,94.0,83.0,50.0,37.0,460.0,1740.0,1265.0,3800.0,1835.0,303.0,489.0,204.0,770000.0
112B,Piston,300.0,131.0,123.0,50.0,37.0,940.0,970.0,1265.0,3300.0,1845.0,315.0,484.0,278.0,1570000.0
100 Darter (S.L. Industries),Piston,230.0,103.0,101.0,50.0,37.0,710.0,1365.0,1265.0,3300.0,1815.0,303.0,484.0,204.0,1300000.0
112,Piston,300.0,136.0,130.0,50.0,88.0,950.0,1710.0,1480.0,3100.0,2253.0,330.0,430.0,500.0,1610000.0
Top Cub,Piston,300.0,141.0,134.0,52.0,88.0,960.0,2125.0,1565.0,3320.0,1998.0,324.0,430.0,522.0,1640000.0
100 Darter (S.L. Industries),Piston,300.0,155.0,145.0,49.0,88.0,1075.0,1430.0,1400.0,3350.0,1750.0,308.0,430.0,645.0,1790000.0
Falcon 900 (3-eng fan jet),Piston,300.0,155.0,147.0,51.0,65.0,1040.0,1330.0,1400.0,3350.0,1565.0,306.0,434.0,470.0,1750000.0
100 Darter (S.L. Industries),Piston,300.0,153.0,145.0,54.0,65.0,950.0,1290.0,1285.0,3300.0,1560.0,306.0,434.0,470.0,1690000.0
Falcon 200,Piston,260.0,153.0,145.0,54.0,65.0,1000.0,1510.0,1265.0,3200.0,1520.0,305.0,432.0,561.0,1730000.0
100 Darter (S.L. Industries),Piston,235.0,187.0,173.0,50.0,92.0,1040.0,1570.0,1320.0,3100.0,1846.0,344.0,430.0,845.0,2000000.0
Falcon Fan Jet D 20,Piston,235.0,160.0,156.0,50.0,92.0,1140.0,1570.0,1320.0,3100.0,1809.0,344.0,430.0,845.0,1800000.0
100 Darter (S.L. Industries),Piston,235.0,168.0,157.0,49.0,92.0,965.0,1475.0,1350.0,3100.0,1781.0,341.0,430.0,743.0,2000000.0
Falcon F 20,Piston,235.0,176.0,159.0,49.0,92.0,1040.0,1385.0,1350.0,3100.0,2075.0,348.0,432.0,971.0,2000000.0
100 Darter (S.L. Industries),Piston,230.0,150.0,145.0,49.0,92.0,924.0,1514.0,1350.0,3100.0,1970.0,348.0,432.0,930.0,1810000.0
Falcon Fan Jet 10,Piston,230.0,143.0,140.0,46.0,88.0,924.0,1625.0,1280.0,3110.0,1882.0,336.0,192.0,813.0,1810000.0
100 Darter (S.L. Industries),Piston,230.0,146.0,142.0,49.0,92.0,865.0,1515.0,1350.0,3100.0,1775.0,336.0,430.0,817.0,1490000.0
DHC 6-300 Twin Otter Std. + '77-'78=less perf.,Piston,230.0,148.0,143.0,50.0,92.0,1010.0,1350.0,1350.0,2950.0,1754.0,336.0,430.0,817.0,1650000.0
100 Darter (S.L. Industries),Piston,230.0,146.0,139.0,50.0,65.0,890.0,1350.0,1350.0,2950.0,1640.0,337.0,430.0,550.0,1770000.0
DHC 6-200 Twin Otter,Piston,230.0,148.0,141.0,48.0,65.0,980.0,1205.0,1350.0,2800.0,1620.0,341.0,434.0,550.0,1890000.0
Twin Star Diamond DA42,Piston,230.0,148.0,141.0,48.0,65.0,980.0,1205.0,1350.0,2800.0,1610.0,328.0,434.0,550.0,1890000.0
100 Darter (S.L. Industries),Piston,230.0,148.0,141.0,54.0,55.0,1030.0,1080.0,1310.0,2650.0,1560.0,312.0,432.0,450.0,1980000.0
Katana DA20-C1,Piston,230.0,143.0,135.0,54.0,55.0,1120.0,1020.0,1290.0,2550.0,1540.0,312.0,432.0,443.0,2010000.0
100 Darter (S.L. Industries),Piston,230.0,137.0,123.0,48.0,88.0,970.0,1900.0,1720.0,2950.0,2204.0,330.0,430.0,804.0,1530000.0
100 Darter (S.L. Industries),Piston,230.0,137.0,123.0,48.0,61.0,990.0,2070.0,1720.0,2950.0,2110.0,330.0,430.0,804.0,1600000.0
TB-21 TC Trinidad,Piston,230.0,137.0,123.0,48.0,61.0,990.0,2070.0,1720.0,2950.0,1955.0,324.0,430.0,804.0,1600000.0
100 Darter (S.L. Industries),Piston,230.0,137.0,123.0,48.0,88.0,910.0,1706.0,1525.0,2800.0,1790.0,346.0,430.0,804.0,1470000.0
TB-200XL,Piston,230.0,148.0,141.0,48.0,88.0,1100.0,1205.0,1365.0,2800.0,1701.0,308.0,430.0,804.0,1770000.0
100 Darter (S.L. Industries),Piston,230.0,148.0,141.0,50.0,65.0,1090.0,1205.0,1365.0,2800.0,1525.0,306.0,434.0,622.0,1960000.0
TB-9 Tampico Club,Piston,230.0,148.0,139.0,54.0,55.0,1130.0,1080.0,1330.0,2650.0,1555.0,312.0,432.0,513.0,2150000.0
Eclipse 500,Piston,225.0,144.0,137.0,51.0,55.0,1110.0,1095.0,1310.0,2550.0,1540.0,312.0,432.0,513.0,2120000.0
100 Darter (S.L. Industries),Piston,200.0,157.0,149.0,50.0,61.0,925.0,1585.0,1350.0,2800.0,1765.0,327.0,426.0,500.0,1710000.0
Eurofox,Piston,200.0,153.0,144.0,50.0,51.0,860.0,1585.0,1350.0,2800.0,1630.0,327.0,426.0,506.0,1690000.0
Excalibur '800' conv. Beech Twin Bonanza,Piston,180.0,139.0,130.0,46.0,50.0,840.0,1400.0,1220.0,2500.0,1643.0,327.0,426.0,490.0,1460000.0
Excalibur conv. Beech Twin Bonanza,Piston,180.0,133.0,123.0,46.0,50.0,840.0,1400.0,1220.0,2500.0,1485.0,327.0,426.0,417.0,1460000.0
100 Darter (S.L. Industries),Piston,180.0,130.0,120.0,49.0,49.0,760.0,1575.0,1220.0,2500.0,1440.0,324.0,427.0,410.0,1580000.0
"Queen Air '8800' conv. Beech A80,B80",Piston,150.0,125.0,117.0,46.0,49.0,670.0,1575.0,1135.0,2350.0,1415.0,324.0,427.0,591.0,1270000.0
"Metro III,A",Piston,175.0,123.0,118.0,56.0,52.0,790.0,1450.0,1170.0,2450.0,1325.0,300.0,432.0,589.0,1450000.0
"Metro, II (prior '79 height=16/10)",Piston,175.0,128.0,121.0,54.0,52.0,850.0,1340.0,1155.0,2350.0,1312.0,300.0,432.0,593.0,1590000.0
100 Darter (S.L. Industries),Piston,180.0,144.0,140.0,50.0,66.0,800.0,1775.0,1340.0,2650.0,1627.0,329.0,430.0,720.0,1680000.0
Merlin IV C,Piston,180.0,123.0,122.0,48.0,54.0,680.0,1690.0,1335.0,2550.0,1480.0,323.0,433.0,475.0,1700000.0
100 Darter (S.L. Industries),Piston,195.0,132.0,130.0,47.0,52.0,870.0,1360.0,1345.0,2550.0,1572.0,326.0,430.0,570.0,1700000.0
Fairchild 300,Piston,180.0,126.0,124.0,48.0,56.0,730.0,1630.0,1335.0,2550.0,1663.0,326.0,433.0,638.0,1400000.0
100 Darter (S.L. Industries),Piston,160.0,123.0,122.0,47.0,53.0,720.0,1685.0,1295.0,2457.0,1600.0,323.0,433.0,580.0,1350000.0
"Merlin III C-23 (12,500 gross) (SN TT426 & up)",Piston,160.0,123.0,120.0,46.0,43.0,700.0,1625.0,1280.0,2400.0,1454.0,323.0,430.0,440.0,1300000.0
100 Darter (S.L. Industries),Piston,160.0,124.0,122.0,44.0,43.0,770.0,1390.0,1250.0,2300.0,1430.0,323.0,430.0,440.0,1420000.0
